timestamp,service,cpu,memory,response_time,requests,error_rate,latency
22:45:49,user,78,73,484,286,3,147
22:45:51,payment,47,81,130,382,2,78
22:45:53,order,33,61,578,397,2,81
22:45:55,order,39,47,179,348,1,44
22:45:57,user,70,51,800,451,2,79
22:45:59,user,57,30,541,467,3,109
22:46:01,order,44,84,729,331,0,25
22:46:03,user,27,33,156,346,3,62
22:46:05,user,26,80,371,447,3,80
22:46:07,user,46,36,657,111,3,148
22:46:09,payment,35,76,553,490,1,106
22:46:11,user,37,83,900,275,0,117
22:46:13,inventory,24,35,520,314,2,129
22:46:15,inventory,94,68,675,183,3,59
22:53:03,order,41,32,350,237,0,63
22:53:05,user,40,65,595,328,0,75
22:53:07,inventory,59,84,883,368,1,138
22:53:09,order,41,83,588,479,2,81
22:53:11,user,27,33,547,103,3,131
22:53:13,user,47,92,713,293,3,12
22:53:15,payment,89,43,476,262,1,140
22:53:17,payment,25,84,424,406,1,126
22:53:19,payment,38,37,798,248,0,123
22:53:21,user,94,67,466,417,2,75
22:53:23,order,53,77,849,411,3,124
22:53:25,inventory,93,37,577,199,2,80
22:53:27,inventory,63,82,694,487,2,58
22:53:29,user,32,75,112,203,2,145
22:53:31,order,40,94,662,399,1,33
22:53:33,payment,56,87,401,296,1,111
22:53:35,inventory,39,88,428,390,3,57
22:53:37,payment,67,86,693,194,0,106
22:53:39,user,45,56,732,405,2,97
22:53:41,inventory,66,59,147,177,1,87
22:53:43,payment,43,43,244,395,1,97
22:53:45,payment,58,72,522,483,0,21
22:53:47,order,28,62,180,464,2,126
22:53:49,order,95,45,750,179,1,73
23:00:15,order,74,68,640,142,3,97
23:00:17,inventory,60,43,681,347,2,92
23:00:19,payment,51,44,108,495,0,93
23:00:21,payment,60,54,118,333,2,49
23:00:23,user,56,46,715,298,1,14
23:00:25,payment,80,56,892,182,1,40
23:00:27,inventory,56,92,286,155,2,55
23:00:29,user,51,82,199,241,2,60
23:00:31,inventory,41,81,888,471,0,119
23:00:33,order,90,65,840,134,3,21
23:00:35,payment,44,60,415,427,1,63
23:00:37,user,52,76,589,104,3,38
23:00:39,payment,38,73,138,116,3,88
23:00:41,order,67,71,368,105,0,123
23:00:43,order,89,30,328,151,3,96
